0,1,0,0
1,2,0,0
2,3,0,0
3,4,0,1
4,5,0,0
5,9,0,1
6,10,0,0
7,11,0,0
8,12,0,0
9,13,0,0
10,14,0,0
11,18,0,1
12,19,0,0
13,20,0,0
14,21,0,0
15,22,0,0
16,23,0,0
17,24,0,0
18,25,0,0
19,26,0,0
20,27,0,0
21,28,0,0
22,29,0,0
23,30,0,0
24,31,0,0
25,32,0,0
26,33,0,0
27,37,0,1
28,38,0,0
29,39,0,0
30,40,0,0
31,41,0,0
32,42,0,0
33,43,0,0
34,44,0,0
35,45,0,0
36,46,0,0
37,47,0,0
38,48,0,0
39,49,0,0
40,50,0,0
41,51,0,0
42,52,0,0
43,53,0,0
44,54,0,0
45,55,0,0
46,56,0,0
47,57,0,0
48,50,0,0
49,51,0,0
50,52,0,0
51,53,0,0
52,54,0,0
53,55,0,0
54,56,0,0
55,57,0,0
56,50,0,0
57,51,0,0
58,52,0,0
59,53,0,0
60,54,0,0
61,55,0,0
62,56,0,0
63,57,0,0
64,50,0,0
65,51,0,0
66,58,0,0
67,59,0,0
68,60,0,0
69,61,0,0
70,62,0,0
