71,63,0,0
72,64,0,0
73,65,0,0
74,66,0,0
75,67,0,0
76,68,0,0
77,72,0,1
78,73,0,0
79,87,0,0
80,88,0,0
81,89,0,0
82,90,0,0
83,91,0,2
84,92,0,0
85,93,0,0
86,94,0,0
87,95,0,0
88,96,0,0
89,97,0,0
90,98,0,0
91,99,0,0
92,100,0,0
93,101,0,0
94,102,0,0
95,103,0,0
96,104,0,0
97,105,0,3
98,106,0,0
99,107,0,0
100,108,0,0
101,109,0,0
102,110,0,0
103,111,0,0
104,112,0,0
105,113,0,0
106,114,0,0
107,115,0,0
108,116,0,0
109,117,0,0
110,118,0,0
111,119,0,0
112,112,0,0
113,113,0,0
114,114,0,0
115,115,0,0
116,116,0,0
117,117,0,0
118,118,0,0
119,119,0,0
120,112,0,0
121,113,0,0
122,114,0,0
123,115,0,0
124,116,0,0
125,117,0,0
126,118,0,0
127,119,0,0
128,112,0,0
129,113,0,0
130,120,0,0
131,121,0,4
132,122,0,0
133,123,0,0
134,124,0,0
135,74,0,0
136,75,0,0
