Name,Libraries
testGetVariableName,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/util/ArrayList, org/hamcrest/MatcherAssert"
testGetVariableType,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/util/ArrayList, org/hamcrest/MatcherAssert"
testGetVariableIndex,"org/hamcrest/Matchers, java/util/ArrayList, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/lang/Integer, org/hamcrest/MatcherAssert"
testIsObjectVariable,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Boolean, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/util/ArrayList, org/hamcrest/MatcherAssert"
testIsArrayVariable,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Boolean, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/util/ArrayList, org/hamcrest/MatcherAssert"
testHasNoDataDependence,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Boolean, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/util/ArrayList, org/hamcrest/MatcherAssert"
testIsParameter,"org/hamcrest/Matchers, gnu/trove/impl/HashFunctions, gnu/trove/impl/hash/TIntHash, org/hamcrest/Matcher, java/lang/Class, java/lang/Boolean, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, gnu/trove/set/hash/TIntHashSet, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/util/ArrayList, org/hamcrest/MatcherAssert"
testFindEntryForInstruction,"org/hamcrest/Matchers, gnu/trove/impl/HashFunctions, soba/util/IntPairSet, gnu/trove/impl/hash/TIntHash, java/util/ArrayList, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, gnu/trove/map/hash/TIntObjectHashMap, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/AbstractInsnNode, gnu/trove/set/hash/TIntHashSet, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, org/objectweb/asm/tree/InsnList, java/lang/Integer, org/hamcrest/MatcherAssert"
testControlDependence,"gnu/trove/impl/hash/TIntHash, java/lang/Iterable, java/lang/Math, java/util/Arrays, org/hamcrest/collection/IsArrayContainingInAnyOrder, soba/core/method/ControlDependenceTest, soba/util/graph/SingleRootDirectedGraph, org/hamcrest/core/DescribedAs, java/lang/Integer, soba/util/graph/DominanceTree, java/lang/String, org/hamcrest/Matchers, gnu/trove/impl/HashFunctions, soba/util/IntPairSet, java/util/Collection, soba/util/IntPairList, soba/util/graph/GraphUtil, org/hamcrest/Matcher, gnu/trove/procedure/TIntProcedure, soba/util/IntSetStack, soba/util/graph/IDepthFirstVisitor, soba/util/graph/DirectedAcyclicGraph, gnu/trove/set/hash/TIntHashSet, gnu/trove/impl/hash/TPrimitiveHash, org/hamcrest/MatcherAssert, soba/util/graph/IDirectedGraph, org/hamcrest/FeatureMatcher, gnu/trove/impl/PrimeFinder, java/lang/Class, org/hamcrest/collection/IsArrayWithSize, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/util/graph/DepthFirstSearch, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/core/IsEqual, java/util/Iterator, soba/util/IntPairUtil, gnu/trove/map/hash/TIntObjectHashMap, gnu/trove/impl/hash/THash, java/util/List, gnu/trove/procedure/TIntObjectProcedure, java/lang/reflect/Method, org/hamcrest/collection/IsIterableContainingInAnyOrder, soba/util/graph/DirectedGraph, soba/util/IntPairProc, org/hamcrest/TypeSafeMatcher, soba/util/IntStack, java/lang/Object, java/util/Stack, soba/core/method/ControlDependence, soba/util/UtilForAssertThat, org/hamcrest/Description, java/util/ArrayList"
testConstructorWithoutInstruction,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, java/lang/Integer, soba/core/method/asm/FastSourceValue, org/hamcrest/MatcherAssert"
